Agricultural zone,month(chara),rainfall (mm),temperature(avg),humidity(avg),sunlight(hour),direction of wind(deg),velocity of wind(km/h),label,,,,
Barisal,7.5,111.7,28.5,88.4,23.3,175,6.5,Aman,,,,
Bogra,8,63.3,29.3,83.6,35,137,6.3,Aman,,,,
Chittagonj,7,201.7,28,86.9,24,173,10.7,Aman,,,,
Cumilla,7.5,107,28.5,86,26.5,174,7,Aman,,,,
Dhaka,7.25,73.5,29.1,83,32,159,5.9,Aman,,,,
Dinajpur,6.75,96,29.2,83,31,121,3.7,Aman,,,,
Faridpur,7.75,84.5,29,85.5,32,180,5.6,Aman,,1,January,1st week
Khulna,8.5,76.5,29.1,85.6,31,170,6.5,Aman,,1.25,January,2nd week
Jashore,8.25,56,29.5,84.3,32.5,172,4.3,Aman,,1.5,January,3rd week
Mymensingh,8.25,89,28.7,85.6,25,152,7.2,Aman,,1.75,January,4th week
Rajshahi,7,51,30,81.7,35,129,6.7,Aman,,2,February,1st week
Rangamati,7,134,28.4,83.4,30,186,5.6,Aman,,2.25,February,2nd week
Sylhet,8.25,129.5,28.4,85.1,26,160,6.2,Aman,,,.,
Rangpur,7,106,29.2,84.4,27,131,7.1,Aman,,,.,
Barisal,10,9,24.8,77.2,49,232,2.7,Red Lentil,,,to be continued,
Bogra,11,5,25.3,73.5,55,200,3.7,Red Lentil,,,,
Chittagonj,10,75.7,28.3,82.4,45.8,203,6.7,Red Lentil,,,,
Cumilla,10,46.5,28.3,81.9,43,214,4.3,Red Lentil,,,,
Dhaka,10.25,40.5,27.9,77.6,47.5,192,4.1,Red Lentil,,,,
Dinajpur,10,42,27.8,81.2,45,146,3.7,Red Lentil,,,,
Faridpur,10.25,43,28,79.3,46,208,2.9,Red Lentil,,,,
Jashore,11,8,25.3,74,48.5,175,2.3,Red Lentil,,,,
Mymensingh,10.25,45,27.5,81,47,193,3.7,Red Lentil,,,,
Rajshahi,10.25,23,27.4,78.5,53,146,3.9,Red Lentil,,,,
Sylhet,10,60,27.5,82.4,43.5,191,4.7,Red Lentil,,,,
Rangpur,10.25,35.5,26.8,79.9,51.5,134,6.3,Red Lentil,,,,
Barisal,12,1.7,21.7,74.3,48.7,225,3.1,Tomato,,,,
Bogra,12,1.7,21.7,74.3,48.7,225,3.1,Tomato,,,,
Chittagonj,9,92.7,28.3,84.5,35.8,185,8.6,Tomato,,,,
Cumilla,9,53,28.8,84.3,32,186,5.3,Tomato,,,,
Dhaka,9,60.5,29.2,82.5,33.5,163,5.5,Tomato,,,,
Dinajpur,11,5,24.9,55.4,55,149,3.5,Tomato,,,,
Jashore,11,9,25.9,76,45.5,153,2.5,Tomato,,,,
Khulna,10,41,29.1,83,41.5,189,4.3,Tomato,,,,
Mymensingh,9,63,28.7,85.4,28,151,5.6,Tomato,,,,
Rajshahi,11,7,27.4,78.5,53,146,3.9,Tomato,,,,
Barisal,11.25,9,24.8,77.2,49,232,2.7,Wheat,,,,
Bogra,11.25,0,24.2,72,55,202,3.7,Wheat,,,,
Cumilla,11.75,2.5,22.5,74,48.5,195,3.3,Wheat,,,,
Dhaka,11.25,6,24.3,72,51.5,199,3.7,Wheat,,,,
Dinajpur,11.25,0,23,73.8,52,154,3.7,Wheat,,,,
Faridpur,11.25,8,24.4,74.3,49.5,202,208,Wheat,,,,
Jashore,11.25,7.5,24.2,72.8,49.5,177,2.5,Wheat,,,,
Khulna,11.25,8,24.7,73.6,52.5,189,3.8,Wheat,,,,
Mymensingh,11,7,25.9,78,51,186,3.7,Wheat,,,,
Rajshahi,11.25,1,23.6,72.6,54,151,3.7,Wheat,,,,
Rangpur,10.25,35.5,26.8,79.9,51.5,134,6.3,Wheat,,,,
Sylhet,11.25,8.5,23.5,75.7,55.5,180,4.3,Wheat,,,,
Barisal,2,4,21.2,70.9,52.3,211,4.6,Banana,,,,
Bogra,2,4,21.2,70.9,52.3,211,4.6,Banana,,,,
Dhaka,2,4,20.7,65.7,51.5,236,4.5,Banana,,,,
Jashore,2,5,20.5,68.2,49.5,191,3.1,Banana,,,,
Mymensingh,2,1,20.2,68.7,48,218,3.9,Banana,,,,
Rangamati,2,2,21.4,67.3,57,176,3.7,Banana,,,,
Rangpur,2,2,19.3,71.2,48.5,192,6.6,Banana,,,,
Barisal,11,9,24.8,77.2,49,232,2.7,Brinjal(Robi),,,,
Bogra,9,60,29.2,84,35,147,5.6,Brinjal(Robi),,,,
Chittagonj,10,75.7,28.3,82.4,45.8,203,6.7,Brinjal(Robi),,,,
Cumilla,10,51,28.8,82.9,39,203,4.6,Brinjal(Robi),,,,
Dhaka,10,47,28.9,80.6,40,194,4,Brinjal(Robi),,,,
Jashore,9.25,68,29.5,83.7,33,186,4.1,Brinjal(Robi),,,,
Sylhet,10,63,27.9,83.8,40.5,190,4.6,Brinjal(Robi),,,,
