Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Barisal,July,3,111.7,28.5,88.4,23.3,175.0,6.5,Aman
Bogra,August,1,63.3,29.3,83.6,35.0,137.0,6.3,Aman
Chittagonj,July,1,201.7,28.0,86.9,24.0,173.0,10.7,Aman
Cumilla,July,3,107.0,28.5,86.0,26.5,174.0,7.0,Aman
Dhaka,July,2,73.5,29.1,83.0,32.0,159.0,5.9,Aman
Dinajpur,June,4,96.0,29.2,83.0,31.0,121.0,3.7,Aman
Faridpur,July,4,84.5,29.0,85.5,32.0,180.0,5.6,Aman
Khulna,August,3,76.5,29.1,85.6,31.0,170.0,6.5,Aman
Jashore,August,2,56.0,29.5,84.3,32.5,172.0,4.3,Aman
Mymensingh,August,2,89.0,28.7,85.6,25.0,152.0,7.2,Aman
Rajshahi,July,1,51.0,30.0,81.7,35.0,129.0,6.7,Aman
Rangamati,July,1,134.0,28.4,83.4,30.0,186.0,5.6,Aman
Sylhet,August,2,129.5,28.4,85.1,26.0,160.0,6.2,Aman
Rangpur,July,1,106.0,29.2,84.4,27.0,131.0,7.1,Aman
Barisal,October,1,9.0,24.8,77.2,49.0,232.0,2.7,Red Lentil
Bogra,November,1,5.0,25.3,73.5,55.0,200.0,3.7,Red Lentil
Chittagonj,October,1,75.7,28.3,82.4,45.8,203.0,6.7,Red Lentil
Cumilla,October,1,46.5,28.3,81.9,43.0,214.0,4.3,Red Lentil
Dhaka,October,2,40.5,27.9,77.6,47.5,192.0,4.1,Red Lentil
Dinajpur,October,1,42.0,27.8,81.2,45.0,146.0,3.7,Red Lentil
Faridpur,October,2,43.0,28.0,79.3,46.0,208.0,2.9,Red Lentil
Jashore,November,1,8.0,25.3,74.0,48.5,175.0,2.3,Red Lentil
Mymensingh,October,2,45.0,27.5,81.0,47.0,193.0,3.7,Red Lentil
Rajshahi,October,2,23.0,27.4,78.5,53.0,146.0,3.9,Red Lentil
Sylhet,October,1,60.0,27.5,82.4,43.5,191.0,4.7,Red Lentil
Rangpur,October,2,35.5,26.8,79.9,51.5,134.0,6.3,Red Lentil
Barisal,December,1,1.7,21.7,74.3,48.7,225.0,3.1,Tomato
Bogra,December,1,1.7,21.7,74.3,48.7,225.0,3.1,Tomato
Chittagonj,September,1,92.7,28.3,84.5,35.8,185.0,8.6,Tomato
Cumilla,September,1,53.0,28.8,84.3,32.0,186.0,5.3,Tomato
Dhaka,September,1,60.5,29.2,82.5,33.5,163.0,5.5,Tomato
Dinajpur,November,1,5.0,24.9,55.4,55.0,149.0,3.5,Tomato
Jashore,November,1,9.0,25.9,76.0,45.5,153.0,2.5,Tomato
Khulna,October,1,41.0,29.1,83.0,41.5,189.0,4.3,Tomato
Mymensingh,September,1,63.0,28.7,85.4,28.0,151.0,5.6,Tomato
Rajshahi,November,1,7.0,27.4,78.5,53.0,146.0,3.9,Tomato
Barisal,November,2,9.0,24.8,77.2,49.0,232.0,2.7,Wheat
Bogra,November,2,0.0,24.2,72.0,55.0,202.0,3.7,Wheat
Cumilla,November,4,2.5,22.5,74.0,48.5,195.0,3.3,Wheat
Dhaka,November,2,6.0,24.3,72.0,51.5,199.0,3.7,Wheat
Dinajpur,November,2,0.0,23.0,73.8,52.0,154.0,3.7,Wheat
Faridpur,November,2,8.0,24.4,74.3,49.5,202.0,208.0,Wheat
Jashore,November,2,7.5,24.2,72.8,49.5,177.0,2.5,Wheat
Khulna,November,2,8.0,24.7,73.6,52.5,189.0,3.8,Wheat
Mymensingh,November,1,7.0,25.9,78.0,51.0,186.0,3.7,Wheat
Rajshahi,November,2,1.0,23.6,72.6,54.0,151.0,3.7,Wheat
Rangpur,October,2,35.5,26.8,79.9,51.5,134.0,6.3,Wheat
Sylhet,November,2,8.5,23.5,75.7,55.5,180.0,4.3,Wheat
Barisal,February,1,4.0,21.2,70.9,52.3,211.0,4.6,Banana
Bogra,February,1,4.0,21.2,70.9,52.3,211.0,4.6,Banana
Dhaka,February,1,4.0,20.7,65.7,51.5,236.0,4.5,Banana
Jashore,February,1,5.0,20.5,68.2,49.5,191.0,3.1,Banana
Mymensingh,February,1,1.0,20.2,68.7,48.0,218.0,3.9,Banana
Rangamati,February,1,2.0,21.4,67.3,57.0,176.0,3.7,Banana
Rangpur,February,1,2.0,19.3,71.2,48.5,192.0,6.6,Banana
Barisal,November,1,9.0,24.8,77.2,49.0,232.0,2.7,Brinjal(Robi)
Bogra,September,1,60.0,29.2,84.0,35.0,147.0,5.6,Brinjal(Robi)
Chittagonj,October,1,75.7,28.3,82.4,45.8,203.0,6.7,Brinjal(Robi)
Cumilla,October,1,51.0,28.8,82.9,39.0,203.0,4.6,Brinjal(Robi)
Dhaka,October,1,47.0,28.9,80.6,40.0,194.0,4.0,Brinjal(Robi)
Jashore,September,2,68.0,29.5,83.7,33.0,186.0,4.1,Brinjal(Robi)
Sylhet,October,1,63.0,27.9,83.8,40.5,190.0,4.6,Brinjal(Robi)
Rajshahi,November,1,7.0,27.4,78.5,53.0,146.0,3.9,Brinjal(Robi)
Mymensingh,September,3,79.0,29.0,84.6,31.0,156.0,5.4,Brinjal(Robi)
Khulna,October,3,31.5,28.3,79.8,49.5,193.0,4.1,Brinjal(Robi)
Barisal,February,3,8.0,23.3,71.0,52.0,211.0,4.9,Brinjal(Khorip)
Bogra,March,1,4.0,25.1,61.8,61.0,225.0,6.7,Brinjal(Khorip)
Chittagonj,April,1,21.3,27.8,76.7,56.0,209.0,10.0,Brinjal(Khorip)
Cumilla,April,1,25.5,27.8,76.4,51.0,194.0,7.1,Brinjal(Khorip)
Dhaka,March,2,9.5,26.1,62.5,58.0,223.0,5.7,Brinjal(Khorip)
Jashore,March,2,4.5,26.3,63.9,55.0,230.0,4.1,Brinjal(Khorip)
Sylhet,May,1,102.5,26.7,78.5,45.0,153.0,7.1,Brinjal(Khorip)
Rajshahi,May,1,24.0,29.6,71.1,52.0,136.0,7.4,Brinjal(Khorip)
Mymensingh,March,2,6.0,24.8,67.4,53.0,208.0,5.6,Brinjal(Khorip)
Khulna,June,1,52.0,30.7,79.5,41.5,178.0,6.7,Brinjal(Khorip)
